State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.923228660242339	0.06293317508328519	0.0011649464655800882	1.5672278329434308E-4	0.0	3.0421433287730116E-4	0.0017293968771119235	0.002709466967776146	0.0	0.007773417247736089
2	0.0013553785542409897	0.9913091220548033	3.8186472577140184E-4	0.0	0.0	0.0	0.0	0.006752617529179949	5.905508460598984E-5	1.419620513984445E-4
3	2.642244242133422E-4	0.0038162945349863595	0.9634381802905275	0.0158156687314089	0.0	0.005502981588093015	0.0	0.010343193296449945	7.381430071323304E-4	8.131412718864459E-5
4	8.322518779800777E-5	0.0	0.06431359206797141	0.9068726791405947	0.01934737275089747	7.317956112702246E-4	0.005642560723466246	0.0027450360280719156	2.528448681224064E-4	1.089362180752313E-5
5	0.0	0.0	0.0	0.018896192180614675	0.8514828728206173	0.10879852143908711	0.02082241355968077	0.0	0.0	0.0
6	2.7736625129168204E-4	0.0	0.020371557381768244	6.15047598836384E-4	0.10488854145307856	0.8440903232812943	0.020961002324206102	0.004209945566742145	0.004155020522049028	4.3119562073322713E-4
7	0.0036347573449324044	0.0	0.0	0.014702950683133419	0.05401510184858735	0.058601297371729415	0.8142018861048035	0.004101819302904546	0.009110348848362187	0.04163183849554725
8	0.0018186948534321674	0.20731934068858743	0.033346677956943786	0.0020572233190335565	0.0	0.00369107236529361	0.001381635405523998	0.6429762948626546	0.07273006051860582	0.03467900002992497
9	0.0	0.005613644537689783	0.005996241527758493	6.211397591931427E-4	0.0	0.009910173336729795	0.0075639129927198645	0.1929488446929728	0.7749514945461068	0.0023945486068294823
10	0.01618818345488265	0.012309464726996875	6.13335928585242E-4	9.298849011966362E-5	0.0	0.0010904010699269856	0.041844099002800714	0.10494315979919279	0.0030903648966684287	0.8198280026308267
